Date,Year,Month Number,DayNum,WeekNum,total,WeekDay
2017-07-13 00:00:00,2017,7,13,28,51.40799969434738,5
2017-07-14 00:00:00,2017,7,14,28,41.54690000414848,6
2017-07-15 00:00:00,2017,7,15,28,89.55090004205704,7
2017-07-16 00:00:00,2017,7,16,29,77.38899978995323,1
2017-07-17 00:00:00,2017,7,17,29,32.172300189733505,2
2017-07-18 00:00:00,2017,7,18,29,33.51480013132095,3
2017-07-19 00:00:00,2017,7,19,29,46.284999907016754,4
2017-07-20 00:00:00,2017,7,20,29,30.731300458312035,5
2017-07-21 00:00:00,2017,7,21,29,15.429999977350235,6
2017-07-22 00:00:00,2017,7,22,29,24.60340052843094,7
2017-07-23 00:00:00,2017,7,23,30,33.28900018334389,1
2017-07-24 00:00:00,2017,7,24,30,9.143000066280365,2
2017-07-25 00:00:00,2017,7,25,30,36.578199684619904,3
2017-07-26 00:00:00,2017,7,26,30,13.834999799728394,4
2017-07-27 00:00:00,2017,7,27,30,29.531999737024307,5
2017-07-28 00:00:00,2017,7,28,30,48.73399992287159,6
2017-07-29 00:00:00,2017,7,29,30,91.60360014438629,7
2017-07-30 00:00:00,2017,7,30,31,46.70599949359894,1
2017-07-31 00:00:00,2017,7,31,31,11.32800006866455,2
2017-08-01 00:00:00,2017,8,1,31,18.494000256061554,3
2017-08-02 00:00:00,2017,8,2,31,38.8855996131897,4
2017-08-03 00:00:00,2017,8,3,31,41.40400004386902,5
2017-08-04 00:00:00,2017,8,4,31,52.078800201416016,6
2017-08-05 00:00:00,2017,8,5,31,45.8815995156765,7
2017-08-06 00:00:00,2017,8,6,32,55.47700035572052,1
2017-08-07 00:00:00,2017,8,7,32,18.01200008392334,2
2017-08-08 00:00:00,2017,8,8,32,25.079999893903732,3
2017-08-09 00:00:00,2017,8,9,32,1.1050000190734863,4
2017-08-10 00:00:00,2017,8,10,32,20.819999992847443,5
2017-08-11 00:00:00,2017,8,11,32,34.40910017490387,6
2017-08-12 00:00:00,2017,8,12,32,46.10800012946129,7
2017-08-13 00:00:00,2017,8,13,33,83.07799915969372,1
2017-08-14 00:00:00,2017,8,14,33,22.987999975681305,2
2017-08-15 00:00:00,2017,8,15,33,26.78699979186058,3
2017-08-16 00:00:00,2017,8,16,33,25.168000042438507,4
2017-08-17 00:00:00,2017,8,17,33,23.78499999642372,5
2017-08-18 00:00:00,2017,8,18,33,33.04200008511543,6
2017-08-19 00:00:00,2017,8,19,33,53.54539994895458,7
2017-08-20 00:00:00,2017,8,20,34,39.90899991989136,1
2017-08-21 00:00:00,2017,8,21,34,18.76200008392334,2
2017-08-22 00:00:00,2017,8,22,34,27.106999963521957,3
2017-08-23 00:00:00,2017,8,23,34,21.777999877929688,4
2017-08-24 00:00:00,2017,8,24,34,22.62099999189377,5
2017-08-25 00:00:00,2017,8,25,34,31.642199963331223,6
2017-08-26 00:00:00,2017,8,26,34,45.86100000143051,7
2017-08-27 00:00:00,2017,8,27,35,35.65500009059906,1
2017-08-28 00:00:00,2017,8,28,35,18.679000049829483,2
2017-08-29 00:00:00,2017,8,29,35,11.243999898433685,3
2017-08-30 00:00:00,2017,8,30,35,11.6010000705719,4
2017-08-31 00:00:00,2017,8,31,35,24.852999925613403,5
2017-09-01 00:00:00,2017,9,1,35,28.303599804639816,6
2017-09-02 00:00:00,2017,9,2,35,16.862999826669693,7
2017-09-03 00:00:00,2017,9,3,36,15.648999989032745,1
2017-09-04 00:00:00,2017,9,4,36,17.944000095129013,2
2017-09-05 00:00:00,2017,9,5,36,30.13449999690056,3
2017-09-06 00:00:00,2017,9,6,36,13.292999923229218,4
2017-09-07 00:00:00,2017,9,7,36,2.881999969482422,5
2017-09-08 00:00:00,2017,9,8,36,36.76880005002022,6
2017-09-09 00:00:00,2017,9,9,36,29.638000190258026,7
2017-09-10 00:00:00,2017,9,10,37,23.63419982790947,1
2017-09-11 00:00:00,2017,9,11,37,18.35400003194809,2
2017-09-12 00:00:00,2017,9,12,37,18.96799996495247,3
2017-09-13 00:00:00,2017,9,13,37,11.011999934911728,4
2017-09-14 00:00:00,2017,9,14,37,10.242900103330612,5
2017-09-15 00:00:00,2017,9,15,37,22.170999825000763,6
2017-09-16 00:00:00,2017,9,16,37,27.931000351905823,7
2017-09-17 00:00:00,2017,9,17,38,21.92900013923645,1
2017-09-18 00:00:00,2017,9,18,38,11.033999770879745,2
2017-09-19 00:00:00,2017,9,19,38,5.997999966144562,3
2017-09-20 00:00:00,2017,9,20,38,36.9200000166893,4
2017-09-21 00:00:00,2017,9,21,38,25.062000036239624,5
2017-09-22 00:00:00,2017,9,22,38,24.490000069141388,6
2017-09-23 00:00:00,2017,9,23,38,18.62900012731552,7
2017-09-24 00:00:00,2017,9,24,39,37.76800012588501,1
2017-09-25 00:00:00,2017,9,25,39,10.887999922037125,2
2017-09-26 00:00:00,2017,9,26,39,28.18099981546402,3
2017-09-27 00:00:00,2017,9,27,39,27.54700030386448,4
2017-09-28 00:00:00,2017,9,28,39,3.4889999628067017,5
2017-09-29 00:00:00,2017,9,29,39,21.387399837374687,6
2017-09-30 00:00:00,2017,9,30,39,52.15730009973049,7
2017-10-01 00:00:00,2017,10,1,40,33.28600013256073,1
2017-10-02 00:00:00,2017,10,2,40,12.414000153541565,2
2017-10-03 00:00:00,2017,10,3,40,28.154000014066696,3
2017-10-04 00:00:00,2017,10,4,40,16.50899988412857,4
2017-10-05 00:00:00,2017,10,5,40,123.72300028800964,5
2017-10-06 00:00:00,2017,10,6,40,18.642000317573547,6
2017-10-07 00:00:00,2017,10,7,40,38.83999985456467,7
2017-10-08 00:00:00,2017,10,8,41,37.125000566244125,1
2017-10-09 00:00:00,2017,10,9,41,20.954399913549423,2
2017-10-10 00:00:00,2017,10,10,41,10.618000119924545,3
2017-10-11 00:00:00,2017,10,11,41,17.41159987449646,4
2017-10-12 00:00:00,2017,10,12,41,10.754000067710876,5
